year/country,ISO Code,Year,Urban_Population,Tax%
Afghanistan2003,AFG,2003,22.353,0.165953
Afghanistan2004,AFG,2004,22.5,0.411647
Afghanistan2005,AFG,2005,22.703,0.320864
Afghanistan2006,AFG,2006,22.907,1.261181
Afghanistan2007,AFG,2007,23.113,1.323461
Afghanistan2008,AFG,2008,23.32,1.664719
Afghanistan2009,AFG,2009,23.528,2.608631
Afghanistan2010,AFG,2010,23.737,2.563413
Afghanistan2011,AFG,2011,23.948,2.573097
Afghanistan2012,AFG,2012,24.16,2.4778
Afghanistan2013,AFG,2013,24.373,2.477882
Afghanistan2014,AFG,2014,24.587,2.797326
Afghanistan2015,AFG,2015,24.803,3.240423
Afghanistan2016,AFG,2016,25.02,1.909034
Afghanistan2017,AFG,2017,25.25,2.034525
Albania1992,ALB,1992,37.249,2.503907
Albania1993,ALB,1993,37.799,3.07224
Albania1997,ALB,1997,40.035,1.084135
Albania1998,ALB,1998,40.601,1.662994
Albania1999,ALB,1999,41.169,2.328931
Albania2000,ALB,2000,41.741,2.862336
Albania2001,ALB,2001,42.435,3.287254
Albania2002,ALB,2002,43.501,3.422474
Albania2003,ALB,2003,44.573,3.320605
Albania2005,ALB,2005,46.731,3.784284
Albania2006,ALB,2006,47.815,3.834387
Albania2007,ALB,2007,48.902,3.952142
Albania2008,ALB,2008,49.991,4.18167
Albania2009,ALB,2009,51.076,4.060975
Albania2010,ALB,2010,52.163,3.789956
Albania2011,ALB,2011,53.247,3.770609
Albania2012,ALB,2012,54.33,3.506325
Albania2013,ALB,2013,55.387,3.408268
Albania2014,ALB,2014,56.423,3.619025
Albania2015,ALB,2015,57.434,3.959472
Albania2016,ALB,2016,58.421,2.944866
Algeria2016,DZA,2016,71.459,6.328067
Algeria2017,DZA,2017,72.052,6.64727
Angola1992,AGO,1992,40.039,22.924154
Angola1993,AGO,1993,41.511,25.243338
Angola1994,AGO,1994,0.43,18.8
Angola1995,AGO,1995,44.169,16.735294
Angola1996,AGO,1996,45.346,24.073679
Angola1997,AGO,1997,46.525,12.673448
Angola1998,AGO,1998,47.71,3.198976
Angola1999,AGO,1999,48.897,1.428435
Angola2000,AGO,2000,50.087,1.248684
Angola2001,AGO,2001,51.274,2.198367
Angola2002,AGO,2002,52.461,1.878612
Angola2003,AGO,2003,53.645,2.084368
Angola2004,AGO,2004,54.827,2.154942
Angola2005,AGO,2005,0.56,1.961302
Angola2006,AGO,2006,56.764,2.061875
Antigua and Barbuda1992,ATG,1992,35.085,1.743323
Antigua and Barbuda1993,ATG,1993,34.709,1.653979
Antigua and Barbuda1994,ATG,1994,34.334,1.590195
Antigua and Barbuda1995,ATG,1995,33.961,1.257216
Antigua and Barbuda1996,ATG,1996,33.59,1.408533
Antigua and Barbuda1997,ATG,1997,33.221,1.387378
Antigua and Barbuda1998,ATG,1998,32.855,1.384224
Antigua and Barbuda1999,ATG,1999,32.49,1.696472
Antigua and Barbuda2000,ATG,2000,32.127,1.67336
Antigua and Barbuda2001,ATG,2001,31.74,2.201665
Antigua and Barbuda2002,ATG,2002,31.098,2.792178
Antigua and Barbuda2003,ATG,2003,30.464,2.709957
Antigua and Barbuda2004,ATG,2004,29.837,1.868707
Antigua and Barbuda2005,ATG,2005,29.218,2.311594
Antigua and Barbuda2006,ATG,2006,28.606,3.569142
Antigua and Barbuda2007,ATG,2007,28.002,2.849478
Antigua and Barbuda2008,ATG,2008,27.405,3.017591
Antigua and Barbuda2009,ATG,2009,26.818,2.965204
Antigua and Barbuda2010,ATG,2010,26.238,2.969152
Antigua and Barbuda2011,ATG,2011,25.703,2.260052
Antigua and Barbuda2012,ATG,2012,25.526,2.363192
Antigua and Barbuda2013,ATG,2013,25.35,2.629251
Antigua and Barbuda2014,ATG,2014,25.175,2.108014
Antigua and Barbuda2015,ATG,2015,0.25,2.438198
Antigua and Barbuda2016,ATG,2016,24.846,1.910976
Antigua and Barbuda2017,ATG,2017,24.713,1.809772
Argentina1990,ARG,1990,86.984,0.725242
Argentina1991,ARG,1991,87.328,1.064733
Argentina1992,ARG,1992,87.542,1.367977
Argentina1993,ARG,1993,87.752,1.872911
Argentina1994,ARG,1994,87.96,2.249924
Argentina1995,ARG,1995,88.164,2.311841
Argentina1996,ARG,1996,88.366,2.366931
Argentina1997,ARG,1997,88.564,2.672198
Argentina1998,ARG,1998,88.759,2.96293
Argentina1999,ARG,1999,88.952,3.276607
Argentina2000,ARG,2000,89.142,3.664102
Argentina2001,ARG,2001,89.329,3.674295
Argentina2002,ARG,2002,89.51,2.815507
Argentina2003,ARG,2003,89.686,3.968937
Argentina2004,ARG,2004,89.86,4.856533
Argentina2005,ARG,2005,90.031,5.013047
Argentina2006,ARG,2006,90.2,4.855908
Argentina2007,ARG,2007,90.366,4.930508
Argentina2008,ARG,2008,90.53,4.75991
Argentina2009,ARG,2009,90.691,4.558493
Argentina2010,ARG,2010,90.849,4.719621
Argentina2011,ARG,2011,90.99,5.053549
Argentina2012,ARG,2012,91.121,5.311314
Argentina2013,ARG,2013,91.249,5.545733
Argentina2014,ARG,2014,91.377,5.892197
Argentina2015,ARG,2015,91.503,6.457902
Argentina2016,ARG,2016,91.627,5.310146
Argentina2017,ARG,2017,91.749,5.258498
Armenia1994,ARM,1994,66.332,4.865154
Armenia1995,ARM,1995,66.057,5.90381
Armenia1996,ARM,1996,65.781,3.947315
Armenia1997,ARM,1997,65.504,3.903841
Armenia1998,ARM,1998,65.226,3.286633
Armenia1999,ARM,1999,64.947,4.587602
Armenia2000,ARM,2000,64.666,3.791184
Armenia2001,ARM,2001,64.385,2.712862
Armenia2002,ARM,2002,64.236,2.539505
Armenia2003,ARM,2003,64.137,2.117858
Armenia2004,ARM,2004,64.038,2.747672
Armenia2005,ARM,2005,63.938,3.262426
Armenia2006,ARM,2006,63.839,3.794826
Armenia2007,ARM,2007,63.739,3.884443
Armenia2008,ARM,2008,63.64,3.922415
Armenia2009,ARM,2009,63.54,4.52073
Armenia2010,ARM,2010,63.44,4.385689
Armenia2011,ARM,2011,63.34,4.739421
Armenia2012,ARM,2012,63.24,4.929636
Armenia2013,ARM,2013,63.164,8.667464
Armenia2014,ARM,2014,63.112,8.461605
Armenia2015,ARM,2015,63.085,8.470311
Armenia2016,ARM,2016,63.082,9.376817
Armenia2017,ARM,2017,63.103,8.432133
Aruba1992,ABW,1992,49.998,9.044289
Aruba1993,ABW,1993,49.588,9.283136
Aruba1994,ABW,1994,49.177,8.632287
Aruba1995,ABW,1995,48.767,8.92978
Aruba1996,ABW,1996,48.356,9.040486
Aruba1997,ABW,1997,47.946,8.446389
Aruba1998,ABW,1998,47.536,8.440121
Aruba1999,ABW,1999,47.127,10.019455
Aruba2000,ABW,2000,46.717,9.302675
Aruba2001,ABW,2001,46.339,8.908503
Aruba2002,ABW,2002,45.972,8.810289
Aruba2003,ABW,2003,45.606,9.631624
Aruba2004,ABW,2004,45.24,8.070481
Aruba2005,ABW,2005,44.875,8.740563
Aruba2006,ABW,2006,44.511,9.164744
Aruba2007,ABW,2007,44.147,6.667376
Aruba2008,ABW,2008,43.783,7.082833
Aruba2009,ABW,2009,43.421,7.601163
Aruba2010,ABW,2010,43.059,8.296331
Aruba2011,ABW,2011,42.94,7.800175
Aruba2012,ABW,2012,42.957,9.08491
Aruba2013,ABW,2013,42.99,8.782909
Aruba2014,ABW,2014,43.041,9.361164
Aruba2015,ABW,2015,43.108,10.253217
Aruba2016,ABW,2016,43.192,10.510764
Australia1980,AUS,1980,85.552,15.684475
Australia1981,AUS,1981,85.7,16.16929
Australia1982,AUS,1982,85.67,15.299227
Australia1983,AUS,1983,85.641,14.935523
Australia1984,AUS,1984,85.611,15.795285
Australia1985,AUS,1985,85.582,15.877585
Australia1986,AUS,1986,85.552,16.826667
Australia1987,AUS,1987,85.522,16.926042
Australia1988,AUS,1988,85.493,16.963936
Australia1989,AUS,1989,85.463,16.545301
Australia1990,AUS,1990,85.433,16.074073
Australia1991,AUS,1991,85.403,15.172455
Australia1992,AUS,1992,85.285,14.878789
Australia1993,AUS,1993,85.157,14.787495
Australia1994,AUS,1994,85.028,15.334873
Australia1995,AUS,1995,84.898,16.20083
Australia1996,AUS,1996,84.767,16.716977
Australia1997,AUS,1997,84.636,16.674476
Australia1998,AUS,1998,84.503,17.792808
Australia1999,AUS,1999,84.37,18.561309
Australia2000,AUS,2000,84.235,18.1526
Australia2001,AUS,2001,84.1,16.855279
Australia2002,AUS,2002,84.222,17.17952
Australia2003,AUS,2003,84.343,17.546932
Australia2004,AUS,2004,84.463,18.233611
Australia2005,AUS,2005,84.582,18.276775
Australia2006,AUS,2006,84.7,18.067105
Australia2007,AUS,2007,84.822,18.234847
Australia2008,AUS,2008,84.943,16.096176
Australia2009,AUS,2009,85.063,14.604282
Australia2010,AUS,2010,85.182,14.852164
Australia2011,AUS,2011,85.3,15.535201
Australia2012,AUS,2012,85.402,15.765539
Australia2013,AUS,2013,85.502,15.695033
Australia2014,AUS,2014,85.602,15.853313
Australia2015,AUS,2015,85.701,15.987337
Australia2016,AUS,2016,85.8,16.35603
Austria1980,AUT,1980,65.391,10.475486
Austria1981,AUT,1981,65.364,10.88902
Austria1982,AUT,1982,65.1,10.362057
Austria1983,AUT,1983,64.836,10.028636
Austria1984,AUT,1984,64.57,10.404237
Austria1985,AUT,1985,64.305,10.885875
Austria1986,AUT,1986,64.037,11.045188
Austria1987,AUT,1987,63.769,10.611882
Austria1988,AUT,1988,63.5,10.28537
Austria1989,AUT,1989,63.231,9.433855
Austria1990,AUT,1990,62.96,10.032313
Austria1991,AUT,1991,62.689,10.55794
Austria1992,AUT,1992,62.417,11.094876
Austria1993,AUT,1993,62.144,11.243016
Austria1994,AUT,1994,61.87,10.325931
Austria1995,AUT,1995,61.596,10.785596
Austria1996,AUT,1996,61.32,11.787101
Austria1997,AUT,1997,61.045,12.378208
Austria1998,AUT,1998,60.768,12.513699
Austria1999,AUT,1999,60.491,12.150874
Austria2000,AUT,2000,60.213,11.962843
Austria2001,AUT,2001,59.934,13.618266
Austria2002,AUT,2002,59.655,12.525025
Austria2003,AUT,2003,59.375,12.354413
Austria2004,AUT,2004,59.094,12.13481
Austria2005,AUT,2005,58.813,11.619721
Austria2006,AUT,2006,58.532,11.590005
Austria2007,AUT,2007,58.249,12.084937
Austria2008,AUT,2008,57.966,12.670318
Austria2009,AUT,2009,57.683,11.380318
Austria2010,AUT,2010,57.399,11.497734
Austria2011,AUT,2011,57.115,11.631915
Austria2012,AUT,2012,57.147,11.946088
Austria2013,AUT,2013,57.336,12.284879
Austria2014,AUT,2014,57.526,12.526928
Austria2015,AUT,2015,57.715,13.012234
Austria2016,AUT,2016,57.905,11.726708
Austria2017,AUT,2017,58.094,11.820143
Azerbaijan1997,AZE,1997,51.588,4.971501
Azerbaijan1998,AZE,1998,51.278,4.528986
Azerbaijan1999,AZE,1999,51.185,4.317881
Azerbaijan2000,AZE,2000,51.386,4.684188
Azerbaijan2001,AZE,2001,51.587,3.987961
Azerbaijan2002,AZE,2002,51.787,4.239525
Azerbaijan2003,AZE,2003,51.988,4.60333
Azerbaijan2004,AZE,2004,52.189,5.216882
Azerbaijan2005,AZE,2005,52.389,5.374112
Azerbaijan2006,AZE,2006,52.589,9.431345
Azerbaijan2007,AZE,2007,52.79,10.740101
Azerbaijan2008,AZE,2008,52.99,9.182761
Azerbaijan2009,AZE,2009,53.19,5.367676
Azerbaijan2010,AZE,2010,53.406,4.756859
Azerbaijan2011,AZE,2011,53.637,5.47214
Azerbaijan2012,AZE,2012,53.883,5.598787
Azerbaijan2013,AZE,2013,54.145,5.560139
Azerbaijan2014,AZE,2014,54.422,5.563087
Azerbaijan2015,AZE,2015,54.714,5.873483
Bahamas2016,BHS,2016,82.832,0
Bahamas2017,BHS,2017,82.925,0
Bahrain1980,BHR,1980,86.101,0.629921
Bahrain1981,BHR,1981,86.317,0.951714
Bahrain1982,BHR,1982,86.531,0.805057
Bahrain1983,BHR,1983,86.742,0.896104
Bahrain1984,BHR,1984,86.95,1.163955
Bahrain1985,BHR,1985,87.155,1.339523
Bahrain1986,BHR,1986,87.357,1.618644
Bahrain1987,BHR,1987,87.557,1.494523
Bahrain1988,BHR,1988,87.754,0.962635
Bahrain1989,BHR,1989,87.949,0.985251
Bahrain1990,BHR,1990,88.14,1.328334
Bahrain1991,BHR,1991,88.329,1.307457
Bahrain1992,BHR,1992,88.398,1.109482
Bahrain1993,BHR,1993,88.395,1.110618
Bahrain1994,BHR,1994,88.392,1.198673
Bahrain1995,BHR,1995,88.388,0.913009
Bahrain1996,BHR,1996,88.385,1.176027
Bahrain1997,BHR,1997,88.382,1.159157
Bahrain1998,BHR,1998,88.379,1.307985
Bahrain1999,BHR,1999,88.376,1.122413
Bahrain2000,BHR,2000,88.372,1.000587
Bahrain2001,BHR,2001,88.369,1.285094
Bahrain2002,BHR,2002,88.373,1.131134
Bahrain2003,BHR,2003,88.383,0.982229
Bahrain2004,BHR,2004,88.399,1.106392
Bahrain2005,BHR,2005,88.422,0.125916
Bahrain2006,BHR,2006,88.452,0.137683
Bahrain2007,BHR,2007,88.488,0.126928
Bahrain2008,BHR,2008,88.53,0.181028
Bahrain2009,BHR,2009,88.579,0.129623
Bahrain2010,BHR,2010,88.634,0
Bahrain2011,BHR,2011,88.695,0.174492
Bahrain2013,BHR,2013,88.835,0.129301
Bangladesh1993,BGD,1993,20.966,1.064238
Bangladesh1994,BGD,1994,21.328,1.023756
Bangladesh1995,BGD,1995,21.693,0.800156
Bangladesh1996,BGD,1996,22.064,0.745108
Bangladesh1997,BGD,1997,22.438,0.742243
Bangladesh1998,BGD,1998,22.818,0.821106
Bangladesh1999,BGD,1999,23.202,0.867974
Bangladesh2000,BGD,2000,23.59,0.8362
Bangladesh2001,BGD,2001,24.096,1.036119
Bangladesh2002,BGD,2002,24.756,1.056345
Bangladesh2003,BGD,2003,25.429,1.051335
Bangladesh2004,BGD,2004,26.114,1.073072
Bangladesh2005,BGD,2005,26.809,1.11948
Bangladesh2006,BGD,2006,27.517,1.240354
Bangladesh2007,BGD,2007,28.237,1.463353
Bangladesh2008,BGD,2008,28.968,1.749779
Bangladesh2009,BGD,2009,29.709,1.787997
Bangladesh2010,BGD,2010,30.462,1.895064
Bangladesh2011,BGD,2011,31.225,2.227841
Bangladesh2012,BGD,2012,31.993,2.498462
Bangladesh2013,BGD,2013,32.762,2.706129
Bangladesh2014,BGD,2014,33.535,2.645866
Bangladesh2015,BGD,2015,34.308,2.507041
Bangladesh2016,BGD,2016,35.083,2.430946
Bangladesh2017,BGD,2017,35.858,2.484445
Barbados1981,BRB,1981,39.828,7.318162
Barbados1982,BRB,1982,39.554,7.321657
Barbados1983,BRB,1983,39.28,8.612228
Barbados1984,BRB,1984,39.007,7.966039
Barbados1985,BRB,1985,38.736,7.587302
Barbados1986,BRB,1986,38.464,7.340186
Barbados1987,BRB,1987,38.194,5.828471
Barbados1988,BRB,1988,37.923,5.526604
Barbados1989,BRB,1989,37.654,7.283767
Barbados1990,BRB,1990,37.37,8.08253
Barbados1991,BRB,1991,37.006,8.252953
Barbados1992,BRB,1992,36.643,9.586101
Barbados1993,BRB,1993,36.283,8.862651
Barbados1994,BRB,1994,35.924,8.040213
Barbados1995,BRB,1995,35.566,7.555506
Barbados1996,BRB,1996,35.21,7.946992
Barbados1997,BRB,1997,34.856,8.077612
Barbados1998,BRB,1998,34.503,7.86269
Barbados1999,BRB,1999,34.152,8.202796
Barbados2000,BRB,2000,33.827,8.849485
Barbados2001,BRB,2001,33.629,10.142413
Barbados2002,BRB,2002,33.431,9.647513
Barbados2003,BRB,2003,33.234,9.421016
Barbados2004,BRB,2004,33.037,8.658731
Barbados2005,BRB,2005,32.841,9.449431
Barbados2006,BRB,2006,32.646,9.696226
Barbados2007,BRB,2007,32.451,10.015678
Barbados2008,BRB,2008,32.256,9.376955
Barbados2009,BRB,2009,32.063,9.145588
Barbados2010,BRB,2010,31.87,8.418361
Barbados2011,BRB,2011,31.7,8.290596
Barbados2012,BRB,2012,31.553,8.094005
Barbados2013,BRB,2013,31.429,6.83416
Barbados2014,BRB,2014,31.328,7.378272
Barbados2015,BRB,2015,31.249,7.962938
Barbados2016,BRB,2016,31.193,8.504111
Barbados2017,BRB,2017,31.159,7.959086
Belarus1995,BLR,1995,67.926,9.710132
Belarus1996,BLR,1996,68.308,6.608667
Belarus1997,BLR,1997,68.687,7.628874
Belarus1998,BLR,1998,69.064,7.898046
Belarus1999,BLR,1999,69.482,7.79078
Belarus2000,BLR,2000,69.973,7.575148
Belarus2001,BLR,2001,70.458,7.392455
Belarus2002,BLR,2002,70.939,6.21818
Belarus2003,BLR,2003,71.415,6.079517
Belarus2004,BLR,2004,71.887,6.775893
Belarus2005,BLR,2005,72.354,7.292322
Belarus2006,BLR,2006,72.816,7.476477
Belarus2007,BLR,2007,73.273,7.410628
Belarus2008,BLR,2008,73.726,8.307052
Belarus2009,BLR,2009,74.172,6.759327
Belarus2010,BLR,2010,74.672,6.935239
Belarus2011,BLR,2011,75.188,6.041888
Belarus2012,BLR,2012,75.697,7.268708
Belarus2013,BLR,2013,76.199,7.463612
Belarus2014,BLR,2014,76.693,6.670654
Belarus2015,BLR,2015,77.181,6.768877
Belarus2016,BLR,2016,77.661,6.850141
Belarus2017,BLR,2017,78.134,7.113584
Belgium1980,BEL,1980,95.381,17.116067
Belgium1981,BEL,1981,95.535,17.067946
Belgium1982,BEL,1982,95.637,17.895764
Belgium1983,BEL,1983,95.737,17.926574
Belgium1984,BEL,1984,95.835,18.429578
Belgium1985,BEL,1985,95.93,18.126143
Belgium1986,BEL,1986,96.023,17.802268
Belgium1987,BEL,1987,96.115,17.570322
Belgium1988,BEL,1988,96.204,16.849288
Belgium1989,BEL,1989,96.292,15.346648
Belgium1990,BEL,1990,96.377,15.62988
Belgium1991,BEL,1991,96.461,15.391546
Belgium1992,BEL,1992,96.542,14.831007
Belgium1993,BEL,1993,96.622,15.845956
Belgium1994,BEL,1994,96.7,16.158369
Belgium1995,BEL,1995,96.777,16.241541
Belgium1996,BEL,1996,96.851,16.205555
Belgium1997,BEL,1997,96.924,16.595462
Belgium1998,BEL,1998,96.996,17.156126
Belgium1999,BEL,1999,97.065,16.647982
Belgium2000,BEL,2000,97.129,16.81526
Belgium2001,BEL,2001,97.186,17.017548
Belgium2002,BEL,2002,97.241,16.888808
Belgium2003,BEL,2003,97.296,16.422443
Belgium2004,BEL,2004,97.35,16.396986
Belgium2005,BEL,2005,97.403,15.693542
Belgium2006,BEL,2006,97.454,15.534528
Belgium2007,BEL,2007,97.505,15.318395
Belgium2008,BEL,2008,97.555,15.58941
Belgium2009,BEL,2009,97.603,14.374235
Belgium2010,BEL,2010,97.651,14.583964
Belgium2011,BEL,2011,97.698,14.976352
Belgium2012,BEL,2012,97.744,15.303341
Belgium2013,BEL,2013,97.789,15.98849
Belgium2014,BEL,2014,97.833,16.125608
Belgium2015,BEL,2015,97.876,15.954064
Belgium2016,BEL,2016,97.919,15.600541
Belgium2017,BEL,2017,97.961,16.225376
Belize1990,BLZ,1990,47.465,5.005825
Belize1991,BLZ,1991,47.271,5.18279
Belize1992,BLZ,1992,47.059,5.799807
Belize1993,BLZ,1993,46.848,5.379178
Belize1994,BLZ,1994,46.637,4.875883
Belize1995,BLZ,1995,46.425,3.658226
Belize1996,BLZ,1996,46.214,4.043882
Belize1997,BLZ,1997,46.003,4.260275
Belize1998,BLZ,1998,45.793,4.651161
Belize1999,BLZ,1999,45.582,4.405529
Belize2000,BLZ,2000,45.398,4.586538
Belize2001,BLZ,2001,45.381,4.414392
Belize2002,BLZ,2002,45.364,4.233083
Belize2003,BLZ,2003,45.347,4.498385
Belize2004,BLZ,2004,45.33,4.716966
Belize2005,BLZ,2005,45.313,5.810503
Belize2006,BLZ,2006,45.296,5.675688
Belize2007,BLZ,2007,45.279,6.977644
Belize2008,BLZ,2008,45.262,7.185751
Belize2009,BLZ,2009,45.245,7.990861
Belize2010,BLZ,2010,45.228,8.597386
Belize2011,BLZ,2011,45.228,8.012714
Belize2012,BLZ,2012,45.246,7.452856
Belize2013,BLZ,2013,45.282,7.6717
Belize2014,BLZ,2014,45.335,8.087131
Belize2015,BLZ,2015,45.406,7.250695
Belize2016,BLZ,2016,45.495,7.243482
Belize2017,BLZ,2017,45.601,7.254307
Benin1984,BEN,1984,30.086,2.432653
Benin1985,BEN,1985,30.796,2.357708
Benin1986,BEN,1986,31.517,3.113133
Benin1987,BEN,1987,32.246,3.011385
Benin1988,BEN,1988,32.985,2.72057
Benin1989,BEN,1989,33.73,2.335284
Benin1990,BEN,1990,34.485,2.140247
Benin1991,BEN,1991,35.247,2.237914
Benin1992,BEN,1992,35.827,2.596162
Benin1993,BEN,1993,36.136,2.914745
Benin1994,BEN,1994,36.447,3.666122
Benin1995,BEN,1995,36.758,3.724863
Benin1996,BEN,1996,37.071,3.632367
Benin1997,BEN,1997,37.385,3.024084
Benin1998,BEN,1998,37.699,3.227731
Benin1999,BEN,1999,38.015,2.80122
Benin2000,BEN,2000,38.333,2.825935
Benin2001,BEN,2001,38.65,3.271054
Benin2002,BEN,2002,39.036,3.404931
Benin2003,BEN,2003,39.536,3.141554
Benin2004,BEN,2004,40.039,3.281336
Benin2005,BEN,2005,40.543,3.117503
Benin2006,BEN,2006,41.049,3.144023
Benin2007,BEN,2007,41.558,3.310404
Benin2008,BEN,2008,42.069,3.34013
Benin2009,BEN,2009,42.58,3.159263
Benin2010,BEN,2010,43.093,3.037261
Benin2011,BEN,2011,43.608,3.103527
Benin2012,BEN,2012,44.125,2.836808
Benin2013,BEN,2013,44.642,2.968677
Bhutan1983,BTN,1983,11.745,1.207883
Bhutan1984,BTN,1984,12.332,1.648472
Bhutan1985,BTN,1985,12.941,1.602906
Bhutan1986,BTN,1986,13.577,1.630252
Bhutan1987,BTN,1987,14.24,1.940601
Bhutan1988,BTN,1988,14.929,1.970362
Bhutan1989,BTN,1989,15.645,1.796322
Bhutan1990,BTN,1990,16.388,1.445685
Bhutan1991,BTN,1991,17.161,1.314317
Bhutan1992,BTN,1992,17.962,1.332362
Bhutan1993,BTN,1993,18.791,2.081108
Bhutan1994,BTN,1994,19.649,2.080816
Bhutan1995,BTN,1995,20.537,2.836383
Bhutan1996,BTN,1996,21.456,3.996061
Bhutan1997,BTN,1997,22.401,3.952125
Bhutan1998,BTN,1998,23.377,4.549159
Bhutan1999,BTN,1999,24.383,4.244234
Bhutan2000,BTN,2000,25.418,5.550478
Bhutan2001,BTN,2001,26.48,5.646058
Bhutan2002,BTN,2002,27.57,5.372082
Bhutan2003,BTN,2003,28.688,4.621242
Bhutan2004,BTN,2004,29.835,4.667675
Bhutan2005,BTN,2005,30.965,4.50231
Bhutan2006,BTN,2006,31.712,4.774803
Bhutan2007,BTN,2007,32.469,4.68004
Bhutan2008,BTN,2008,33.236,4.888426
Bhutan2009,BTN,2009,34.01,5.660101
Bhutan2010,BTN,2010,34.793,9.089541
Bhutan2011,BTN,2011,35.585,8.92988
Bhutan2012,BTN,2012,36.371,8.269544
Bhutan2013,BTN,2013,37.149,7.703708
Bhutan2014,BTN,2014,37.918,8.313659
Bhutan2015,BTN,2015,38.678,7.638283
Bhutan2016,BTN,2016,39.428,7.412194
Bhutan2017,BTN,2017,40.167,6.513283
Bolivia1993,BOL,1993,58.079,7.901386
Bolivia1994,BOL,1994,58.615,6.98473
Bolivia1995,BOL,1995,59.15,6.567085
Bolivia1996,BOL,1996,59.682,7.469963
Bolivia1997,BOL,1997,60.212,6.549323
Bolivia1998,BOL,1998,60.739,7.949255
Bolivia1999,BOL,1999,61.264,7.803804
Bolivia2000,BOL,2000,61.787,7.708751
Bolivia2001,BOL,2001,62.306,7.404722
Bolivia2002,BOL,2002,62.783,6.829329
Bolivia2006,BOL,2006,64.628,14.637501
Bolivia2007,BOL,2007,65.082,13.322352
Bolivia2008,BOL,2008,65.535,13.412831
Bolivia2009,BOL,2009,65.984,13.590874
Bolivia2010,BOL,2010,66.43,12.94233
Bolivia2011,BOL,2011,66.874,14.640624
Bolivia2012,BOL,2012,67.315,16.368734
Bolivia2013,BOL,2013,67.699,18.007595
Bolivia2014,BOL,2014,68.047,17.198003
Bolivia2015,BOL,2015,68.393,13.836913
Bosnia and Herzegovina2006,BIH,2006,44.282,0.931128
Bosnia and Herzegovina2007,BIH,2007,44.601,1.388512
Bosnia and Herzegovina2008,BIH,2008,44.92,1.121235
Bosnia and Herzegovina2009,BIH,2009,45.239,2.212234
Bosnia and Herzegovina2010,BIH,2010,45.558,2.84721
Bosnia and Herzegovina2011,BIH,2011,45.878,3.033351
Bosnia and Herzegovina2012,BIH,2012,46.199,3.124394
Bosnia and Herzegovina2013,BIH,2013,46.519,3.101523
Bosnia and Herzegovina2014,BIH,2014,46.84,2.99319
Bosnia and Herzegovina2015,BIH,2015,47.173,3.066069
Bosnia and Herzegovina2016,BIH,2016,47.518,3.291354
Bosnia and Herzegovina2017,BIH,2017,47.876,3.645547
Botswana1980,BWA,1980,16.479,9.729932
Botswana1981,BWA,1981,17.552,11.324619
Botswana1982,BWA,1982,19.489,8.487639
Botswana1983,BWA,1983,21.723,10.070765
Botswana1984,BWA,1984,24.139,14.06034
Botswana1985,BWA,1985,26.724,13.472509
Botswana1986,BWA,1986,29.483,19.722913
Botswana1987,BWA,1987,32.401,19.640592
Botswana1988,BWA,1988,35.467,16.461695
Botswana1989,BWA,1989,38.648,18.076453
Botswana1990,BWA,1990,41.933,19.722065
Botswana1991,BWA,1991,45.292,15.119809
Botswana1992,BWA,1992,46.443,15.019433
Botswana1993,BWA,1993,47.286,14.189484
Botswana1994,BWA,1994,48.133,12.258177
Botswana2003,BWA,2003,55.029,11.987305
Botswana2004,BWA,2004,55.488,10.921331
Botswana2007,BWA,2007,57.928,9.444105
Botswana2008,BWA,2008,59.444,10.785455
Botswana2009,BWA,2009,60.937,10.782445
Botswana2010,BWA,2010,62.412,10.024628
Botswana2011,BWA,2011,63.865,10.757079
Botswana2012,BWA,2012,64.768,8.93687
Botswana2013,BWA,2013,65.572,11.020746
Botswana2014,BWA,2014,66.368,10.900266
Botswana2015,BWA,2015,67.155,8.968548
Botswana2016,BWA,2016,67.933,9.849675
Botswana2017,BWA,2017,68.7,9.328047
Brazil1990,BRA,1990,73.922,5.354545
Brazil1991,BRA,1991,74.69,3.808475
Brazil1992,BRA,1992,75.444,4.62185
Brazil1993,BRA,1993,76.181,4.832524
Brazil1994,BRA,1994,76.903,5.000601
Brazil1995,BRA,1995,77.61,5.10211
Brazil1996,BRA,1996,78.302,4.966927
Brazil1997,BRA,1997,79.048,4.817499
Brazil1998,BRA,1998,79.781,5.408805
Brazil1999,BRA,1999,80.496,5.696247
Brazil2000,BRA,2000,81.192,5.726736
Brazil2001,BRA,2001,81.553,6.015155
Brazil2002,BRA,2002,81.88,6.317538
Brazil2003,BRA,2003,82.203,6.28654
Brazil2004,BRA,2004,82.521,6.146563
Brazil2005,BRA,2005,82.834,6.886203
Brazil2006,BRA,2006,83.143,6.86428
Brazil2007,BRA,2007,83.448,7.186403
Brazil2008,BRA,2008,83.749,7.708969
Brazil2009,BRA,2009,84.044,7.25789
Brazil2010,BRA,2010,84.335,6.654309
Brazil2011,BRA,2011,84.631,7.174126
Brazil2012,BRA,2012,84.923,6.725655
Brazil2013,BRA,2013,85.209,6.766124
Brazil2014,BRA,2014,85.492,6.610906
Brazil2015,BRA,2015,85.77,6.690405
Brazil2016,BRA,2016,86.042,7.234103
Brazil2017,BRA,2017,86.309,7.000617
Brunei1991,BRN,1991,66.585,19.230769
Brunei1992,BRN,1992,67.078,15.578753
Brunei1993,BRN,1993,67.604,13.973384
Brunei1994,BRN,1994,68.126,14.271284
